dateTime,BandAccX,BandAccY,BandAccZ,rate,rateZone
2024-06-06 11:48:12.529,-1755.4,3500.2,-1207.0,80,0.42
2024-06-06 11:48:12.709,-1781.8,3567.8,-1245.2,80,0.42
2024-06-06 11:48:12.905,-1778.4,3496.2,-1227.6,80,0.42
2024-06-06 11:48:13.099,-1790.6,3504.6,-1205.8,80,0.42
2024-06-06 11:48:13.318,-1744.0,3488.1666666666665,-994.6666666666666,80,0.42
2024-06-06 11:48:13.519,-1908.6,3417.8,-1106.2,80,0.42
2024-06-06 11:48:13.715,-1841.6,3790.4,-717.2,80,0.42
2024-06-06 11:48:13.910,-1124.1666666666667,3430.1666666666665,14.166666666666666,80,0.42
2024-06-06 11:48:14.106,3718.2,2418.8,682.2,80,0.42
2024-06-06 11:48:14.331,5865.0,2649.8,-845.6,80,0.42
2024-06-06 11:48:14.529,2798.3333333333335,3731.3333333333335,-350.6666666666667,80,0.42
2024-06-06 11:48:14.704,4055.2,7045.4,792.2,80,0.42
2024-06-06 11:48:14.914,1926.0,2639.4,1612.6,80,0.42
2024-06-06 11:48:15.125,-2267.5,-887.0,1429.6666666666667,80,0.42
2024-06-06 11:48:15.364,-3345.0,-1113.2,1877.4,80,0.42
2024-06-06 11:48:15.515,-3071.4,-1806.0,1546.2,80,0.42
2024-06-06 11:48:15.710,-3901.6,-1494.4,2177.2,80,0.42
2024-06-06 11:48:15.919,-3553.8333333333335,-526.5,1069.5,80,0.42
2024-06-06 11:48:16.153,-3527.0,-540.6,971.0,80,0.42
2024-06-06 11:48:16.325,-3565.6,643.0,1354.0,80,0.42
2024-06-06 11:48:16.535,-761.8333333333334,2625.6666666666665,2509.1666666666665,82,0.43
2024-06-06 11:48:16.715,2726.2,3016.2,2501.0,82,0.43
2024-06-06 11:48:16.910,2929.6,4054.0,1921.0,82,0.43
2024-06-06 11:48:17.120,2469.6666666666665,4691.5,1606.8333333333333,82,0.43
2024-06-06 11:48:17.317,982.6,3391.4,368.6,82,0.43
2024-06-06 11:48:17.529,-274.4,3426.6,366.8,82,0.43
2024-06-06 11:48:17.722,-490.8333333333333,4602.166666666667,396.3333333333333,82,0.43
2024-06-06 11:48:17.916,-132.6,3817.6,163.0,82,0.43
2024-06-06 11:48:18.124,-814.8,3868.6,674.8,82,0.43
2024-06-06 11:48:18.320,-1058.6,4522.0,664.6,82,0.43
2024-06-06 11:48:18.514,-923.0,3700.8333333333335,134.5,82,0.43
2024-06-06 11:48:18.725,-1482.0,3661.6,474.4,82,0.43
2024-06-06 11:48:18.935,-1017.6,4571.4,580.6,82,0.43
2024-06-06 11:48:19.116,-641.5,3668.0,492.8333333333333,82,0.43
2024-06-06 11:48:19.307,-1185.0,3763.8,863.8,82,0.43
2024-06-06 11:48:19.506,-1558.2,4351.6,446.0,82,0.43
2024-06-06 11:48:19.715,-1272.6666666666667,3634.5,-454.5,82,0.43
2024-06-06 11:48:19.915,-1603.8,3483.4,121.2,82,0.43
2024-06-06 11:48:20.107,-1320.8,4522.4,203.6,82,0.43
2024-06-06 11:48:20.330,-730.6,3839.8,-11.8,82,0.43
2024-06-06 11:48:20.557,-988.6666666666666,3739.8333333333335,639.8333333333334,82,0.43
