time,usage,type
2024-06-06 12:08:32,off,ACTIVITY_STOPPED
2024-06-06 12:08:32,off,CONFIGURATION_CHANGE
2024-06-06 12:08:32,on,KEYGUARD_SHOWN
2024-06-06 12:09:08,use,SCREEN_INTERACTIVE
2024-06-06 12:09:08,use,NOTIFICATION_SEEN
2024-06-06 12:09:08,use,NOTIFICATION_SEEN
2024-06-06 12:09:09,use,ACTIVITY_RESUMED
2024-06-06 12:09:09,use,KEYGUARD_HIDDEN
2024-06-06 12:09:09,use,CONFIGURATION_CHANGE
2024-06-06 12:09:18,off,SCREEN_NON_INTERACTIVE
2024-06-06 12:09:18,off,ACTIVITY_PAUSED
2024-06-06 12:09:18,off,ACTIVITY_STOPPED
2024-06-06 12:09:18,on,KEYGUARD_SHOWN
2024-06-06 12:09:18,on,CONFIGURATION_CHANGE
2024-06-06 12:12:00,on,NOTIFICATION_SEEN
2024-06-06 12:12:00,on,STANDBY_BUCKET_CHANGED
2024-06-06 12:12:02,on,FOREGROUND_SERVICE_START
2024-06-06 12:12:02,on,FOREGROUND_SERVICE_START
2024-06-06 12:12:02,on,NOTIFICATION_INTERRUPTION
2024-06-06 12:12:04,on,ACTIVITY_PAUSED
2024-06-06 12:12:04,on,ACTIVITY_RESUMED
2024-06-06 12:12:04,on,ACTIVITY_STOPPED
2024-06-06 12:12:05,on,ACTIVITY_PAUSED
2024-06-06 12:12:05,on,ACTIVITY_RESUMED
2024-06-06 12:12:06,on,ACTIVITY_STOPPED
2024-06-06 12:12:13,on,ACTIVITY_PAUSED
2024-06-06 12:12:13,on,ACTIVITY_RESUMED
2024-06-06 12:12:13,on,CONFIGURATION_CHANGE
2024-06-06 12:12:14,on,ACTIVITY_STOPPED
2024-06-06 12:12:22,on,NOTIFICATION_SEEN
2024-06-06 12:12:22,on,NOTIFICATION_SEEN
2024-06-06 12:12:34,on,ACTIVITY_PAUSED
2024-06-06 12:12:34,on,ACTIVITY_RESUMED
