dateTime,BandAccX,BandAccY,BandAccZ,X,Y,Z,Type,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,deviceStatus
2024-06-06 12:07:46.462,,,,7.8,-22.725,-41.325001,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.470,,,,-0.397209,3.547359,10.106685,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.490,,,,-0.118445,3.579663,9.622138,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.503,,,,0.022903,0.041812,0.015979,AngularVelocity,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.510,,,,-0.102891,3.611966,9.31466,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.522,,,,7.96875,-22.743752,-41.700001,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.530,,,,0.003589,3.564109,9.336196,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.550,,,,0.137587,3.416951,9.309875,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.565,,,,-130.557345,-20.464886,-0.902862,Orientation,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.570,,,,0.322433,3.332604,9.148957,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.582,,,,8.3625,-22.78125,-41.4375,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.590,,,,0.408574,3.468396,8.979067,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.610,,,,0.330808,3.622734,8.857033,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.630,,,,0.215354,3.64068,9.270991,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.642,,,,8.6625,-22.81875,-41.381252,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.650,,,,0.15673,3.795017,9.255438,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.670,,,,0.308076,3.708875,9.035298,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.690,,,,0.206979,3.488735,9.218349,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.701,,,,9.243751,-22.762501,-40.725002,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.710,,,,0.083749,3.43729,9.67478,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.730,,,,0.189033,3.421736,9.57787,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.750,,,,0.354736,3.418147,9.31825,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.762,,,,9.7875,-22.950001,-40.125,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
