dateTime,BandAccX,BandAccY,BandAccZ,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,deviceStatus,Acceleration_X,Acceleration_Y,Acceleration_Z,MagneticField_X,MagneticField_Y,MagneticField_Z,Orientation_X,Orientation_Y,Orientation_Z,AngularVelocity_X,AngularVelocity_Y,AngularVelocity_Z
2024-06-06 12:07:46.050,805.6,7436.4,658.0,80.07724657534247,0.0,6.826,52.334693780821915,4.861722712328768,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.766301,3.495914,9.460623,8.521875999999999,-22.6359385,-40.4343765,-127.98736768645092,-21.081773211700238,-4.583016212837414,0.0,0.0,0.0
2024-06-06 12:07:46.070,805.6,7436.4,658.0,80.0568082191781,0.0,6.826,52.334693726027396,4.8617228904109595,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.981655,3.406781,9.110672,8.456251,-22.659376,-40.425001,-127.94153952601248,-21.0078959852941,-4.688890989711598,0.0,0.0,0.0
2024-06-06 12:07:46.090,805.6,7436.4,658.0,80.0363698630137,0.0,6.826,52.33469367123288,4.861723068493151,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.885943,3.378067,9.089137,8.390626000000001,-22.6828135,-40.415625500000004,-127.89588026135206,-20.933939892387563,-4.794650127159324,0.0,0.0,0.0
2024-06-06 12:07:46.102,805.6,7436.4,658.0,80.01593150684933,0.0,6.826,52.33469361643836,4.861723246575343,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.7908280000000001,3.412464,9.159127,8.325001,-22.706251,-40.40625,-127.8503896694208,-20.85990527086037,-4.9002940260857315,0.0,0.0,0.0
2024-06-06 12:07:46.110,805.6,7436.4,658.0,79.99549315068494,0.0,6.826,52.33469356164383,4.8617234246575345,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.695713,3.446861,9.229117,8.29218825,-22.720313500000003,-40.3500005,-127.80506752724665,-20.78579245773779,-5.00582308776666,0.0,0.0,0.0
2024-06-06 12:07:46.130,805.6,7436.4,658.0,79.97505479452056,0.0,6.826,52.33469350684931,4.861723602739726,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.731606,3.511467,9.299706,8.2593755,-22.734376,-40.293751,-127.75991361194568,-20.711601789192564,-5.111237713839297,0.0,0.0,0.0
2024-06-06 12:07:46.150,805.6,7436.4,658.0,79.95461643835617,0.0,6.826,52.33469345205479,4.861723780821918,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.956531,3.445665,9.324232,8.22656275,-22.7484385,-40.2375015,-127.71492770073336,-20.63733360054679,-5.216538306292562,0.0,0.0,0.0
2024-06-06 12:07:46.162,805.6,7436.4,658.0,79.93417808219179,0.0,6.826,52.334693397260274,4.86172395890411,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.972483,3.4544386666666664,9.303294666666666,8.19375,-22.762501,-40.181252,-127.67010957093562,-20.56298822627377,-5.321725267457882,0.0,0.0,0.0
2024-06-06 12:07:46.165,805.6,7436.4,658.0,79.9137397260274,0.0,6.826,52.334693342465755,4.861724136986302,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.988435,3.4632123333333333,9.282357333333334,8.1525,-22.773750800000002,-40.2450016,-127.625459,-20.488566,-5.426799,0.0,0.0,0.0
2024-06-06 12:07:46.170,805.6,7436.4,658.0,79.89330136986302,0.0,6.826,52.334693287671236,4.861724315068494,0.0,98.0,0.51,on,KEYGUARD_SHOWN,1.004387,3.471986,9.26142,8.11125,-22.7850006,-40.3087512,-127.68679842522826,-20.54441897938652,-5.382468980238426,0.0,0.0,0.0
