dateTime,BandAccX,BandAccY,BandAccZ,X,Y,Z,Type,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,deviceStatus
2024-06-06 12:12:03.505,,,,0.12682,3.086143,9.387642,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.525,,,,0.286541,2.952145,9.288938,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.545,,,,0.259023,3.08375,9.286545,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.561,,,,1.25625,-17.71875,-35.681252,MagneticField,,,,,,,,,,
2024-06-06 12:12:03.565,,,,0.174676,3.137589,9.457033,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.585,,,,0.195015,3.129214,9.620942,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.585,,,,-160.471114,-17.74963,-2.233958,Orientation,,,,,,,,,,
2024-06-06 12:12:03.605,,,,0.270987,3.112464,9.446265,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.621,,,,2.04375,-17.831251,-34.668751,MagneticField,,,,,,,,,,
2024-06-06 12:12:03.625,,,,0.191426,3.07059,9.396016,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.645,,,,0.102891,3.072983,9.308679,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.665,,,,0.111266,3.072983,9.355338,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.681,,,,2.5875,-18.150002,-33.9375,MagneticField,,,,,,,,,,
2024-06-06 12:12:03.685,,,,0.01675,3.081357,9.343374,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.705,,,,-0.004786,3.047858,9.525229,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.725,,,,-0.01675,3.156731,9.482158,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.740,,,,3.3,-18.543751,-32.943752,MagneticField,,,,,,,,,,
2024-06-06 12:12:03.745,,,,0.100499,3.169892,9.270991,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.765,,,,0.07657,3.183052,9.327821,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.784,,,,-160.318009,-17.98061,-1.092362,Orientation,,,,,,,,,,
2024-06-06 12:12:03.785,,,,-0.174676,3.120839,9.507282,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.801,,,,3.80625,-18.675001,-32.53125,MagneticField,,,,,,,,,,
2024-06-06 12:12:03.805,,,,-0.202194,3.356532,9.479765,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.825,,,,-0.02991,3.259623,9.218349,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.845,,,,-0.017946,3.282354,9.235099,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.861,,,,3.975,-18.7875,-32.268753,MagneticField,,,,,,,,,,
2024-06-06 12:12:03.865,,,,-0.075374,3.3673,9.257831,Acceleration,,,,,,,,,,
2024-06-06 12:12:03.885,,,,-0.011964,3.324229,9.400802,Acceleration,,,,,,,,,,
