dateTime,BandAccX,BandAccY,BandAccZ,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,deviceStatus,Acceleration_X,Acceleration_Y,Acceleration_Z,MagneticField_X,MagneticField_Y,MagneticField_Z,Orientation_X,Orientation_Y,Orientation_Z,AngularVelocity_X,AngularVelocity_Y,AngularVelocity_Z,act
2024-06-06 12:10:09.675,4501.809067087478,6220.989534449189,-64.29543356600834,66.443,0.0,5.889,52.33466,4.861791,0.0,158.42838547231875,0.8275609642532807,on,KEYGUARD_SHOWN,-5.95753,-2.007578,1.776073,-26.97656375,-25.21875075,-18.02343775,167.14082475039697,-21.5304689207154,109.36089552448256,0.088209329113924,0.298877582278481,-0.254923746835443,run
2024-06-06 12:10:09.677,4489.971268005375,6991.116940918616,-42.52113043277632,66.443,0.0,5.889,52.33466,4.861791,0.0,158.43222255235247,0.827579712051422,on,KEYGUARD_SHOWN,-6.631708,-1.6040885,1.5343975,-26.700001,-25.425001,-17.94375,166.4317799491649,-21.633107304318308,108.10590374184152,0.0868271898734177,0.3054747974683544,-0.2567373924050633,run
2024-06-06 12:10:09.695,4434.778424520213,7699.236641839199,-15.343972764442585,66.443,0.0,5.889,52.33466,4.861791,0.0,158.43605484801336,0.8275984196557141,on,KEYGUARD_SHOWN,-7.305886,-1.200599,1.292722,-25.7859385,-25.60781375,-17.925000500000003,165.72478468511068,-21.75015911536647,106.85141801569664,0.0854450506329114,0.3120720126582278,-0.2585510379746835,run
2024-06-06 12:10:09.715,4333.483534885351,8321.932690231713,18.02748732323048,66.443,0.0,5.889,52.33466,4.861791,0.0,158.4398823086441,0.8276170867452125,on,KEYGUARD_SHOWN,-6.398408,-0.386441,-0.359522,-24.871876,-25.7906265,-17.906251,165.02010669879868,-21.88156211612364,105.59749487630135,0.084062911392405,0.3186692278481012,-0.2603646835443038,run
2024-06-06 12:10:09.734,4183.339597354156,8835.789139116918,58.38469771448041,66.443,0.0,5.889,52.33466,4.861791,0.0,158.44370488358734,0.827635712998972,on,KEYGUARD_SHOWN,-4.722236,2.417349,-3.39063,-23.9578135,-25.97343925,-17.8875015,164.31801234450697,-22.02724664777476,104.34418696278476,0.0826807721518987,0.3252664430379747,-0.2621783291139241,run
2024-06-06 12:10:09.737,3981.599610179993,9217.390041515582,106.51910629354472,66.443,0.0,5.889,52.33466,4.861791,0.0,158.44752252218586,0.8276542980960483,on,KEYGUARD_SHOWN,-6.49771,6.115157,-3.269493,-23.043751,-26.156252,-17.868752,163.61876647604737,-22.187135737244954,103.09154259245042,0.0812986329113924,0.3318636582278481,-0.2639919746835443,run
2024-06-06 12:10:09.755,3725.516571616225,9443.31945044847,163.22216094466108,66.443,0.0,5.889,52.33466,4.861791,0.0,158.45133517378238,0.8276728417154962,on,KEYGUARD_SHOWN,-8.273184,9.812965,-3.148356,-22.413751,-26.4075016,-17.9512516,162.92263234799125,-22.361145213566463,101.839605337502,0.079916493670886,0.3384608734177215,-0.2658056202531645,run
2024-06-06 12:10:09.775,3412.343479916217,9490.161418936355,229.28530955206696,66.443,0.0,5.889,52.33466,4.861791,0.0,158.4551427877195,0.8276913435363713,on,KEYGUARD_SHOWN,-14.46222,30.702307,7.92443,-21.783751,-26.6587512,-18.0337512,162.2298715336492,-22.54918383312304,100.58841360958095,0.0785343544303797,0.3450580886075949,-0.2676192658227848,run
2024-06-06 12:10:09.794,3039.333333333333,9334.5,305.5,66.443,0.0,5.889,52.33466,4.861791,0.0,158.45894531334,0.8277098032377287,on,KEYGUARD_SHOWN,-5.440680500000001,38.9886525,15.4112735,-21.153751,-26.9100008,-18.1162508,161.54074386108317,-22.751153413053217,99.33800025239633,0.0771522151898734,0.3516553037974683,-0.269432911392405,run
2024-06-06 12:10:09.795,2606.296877425508,8963.132618157138,392.05919430533737,66.443,0.0,5.889,52.33466,4.861791,0.0,158.4627426999865,0.8277282204986238,on,KEYGUARD_SHOWN,3.580859,47.274998,22.898117,-20.523751,-27.1612504,-18.1987504,160.8555073683605,-22.96694897205242,98.08839214261025,0.0,0.0,0.0,run
