dateTime,BandAccX,BandAccY,BandAccZ,X,Y,Z,Type,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,type
2024-06-06 12:16:35.959,,,,3.742375,-0.082552,7.965108,Acceleration,,,,,,,,,,
2024-06-06 12:16:35.977,,,,-26.531252,-7.03125,-38.587502,MagneticField,,,,,,,,,,
2024-06-06 12:16:35.979,,,,4.220939,-0.175872,8.313862,Acceleration,,,,,,,,,,
2024-06-06 12:16:35.999,,,,3.833302,-0.003589,9.460623,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.019,,,,3.936193,0.631107,9.078369,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.037,,,,-25.931252,-7.81875,-38.587502,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.038,,,,4.871189,1.022334,8.143373,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.059,,,,5.231308,1.096511,8.745767,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.079,,,,4.735994,0.771087,9.360124,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.097,,,,-25.331251,-8.45625,-38.662502,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.099,,,,4.457231,0.479163,8.935996,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.119,,,,4.189833,0.683749,8.857033,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.136,,,,157.29968,-3.854385,-22.812209,Orientation,,,,,,,,,,
2024-06-06 12:16:36.139,,,,3.68375,1.091725,9.668798,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.146,591.0,4047.0,-436.0,,,,,,,,,,,,,,
2024-06-06 12:16:36.157,,,,-24.937502,-9.09375,-38.681252,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.159,,,,4.022335,0.844068,9.354142,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.179,,,,4.509872,0.518644,8.620144,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.199,,,,4.881957,0.318844,8.578269,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.217,,,,-24.243752,-9.4125,-38.8125,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.219,,,,4.921438,0.394218,9.153743,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.239,,,,4.519444,0.690928,9.36132,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.259,,,,3.934997,0.974477,8.892925,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.277,,,,-23.643751,-9.65625,-38.925003,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.279,,,,4.029513,1.101297,8.665607,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.299,,,,4.64746,1.054637,8.408379,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.319,,,,4.938188,1.051047,8.618947,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.336,,,,159.162314,-1.459447,-24.920019,Orientation,,,,,,,,,,
2024-06-06 12:16:36.337,,,,-23.19375,-9.918751,-38.775002,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.339,,,,4.868796,0.912264,9.610174,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.341,518.2,4076.4,-808.6,,,,,,,,,,,,,,
2024-06-06 12:16:36.359,,,,4.384848,0.731606,10.012168,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.379,,,,3.963711,0.702892,8.938389,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.397,,,,-22.931252,-10.275001,-38.568752,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.399,,,,3.897908,0.873978,7.543972,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.403,,,,0.172173,0.012384,-0.079895,AngularVelocity,,,,,,,,,,
2024-06-06 12:16:36.419,,,,4.197011,0.781855,6.949954,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.439,,,,4.530211,0.466002,7.198807,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.457,,,,-23.0625,-10.462501,-38.568752,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.459,,,,4.802993,0.339183,8.084749,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.479,,,,4.794619,0.318844,9.092726,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.499,,,,4.467998,0.081356,9.618548,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.517,,,,-23.325001,-10.650001,-38.287502,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.519,,,,3.990032,0.107677,9.514461,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.535,,,,159.43059,-3.437508,-27.396078,Orientation,,,,,,,,,,
2024-06-06 12:16:36.539,,,,3.870391,0.232104,9.37807,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.551,537.3333333333334,3997.6666666666665,-942.5,,,,,,,,,,,,,,
2024-06-06 12:16:36.559,,,,4.049852,0.312862,9.533604,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.577,,,,-23.71875,-10.950001,-38.006252,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.579,,,,4.359723,0.228515,9.776475,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.599,,,,4.277171,0.328415,9.265009,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.619,,,,4.110869,0.595215,8.394022,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.637,,,,-23.90625,-10.9125,-37.6875,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.639,,,,3.961318,0.765105,7.75454,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.659,,,,3.839284,0.814158,7.697112,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.679,,,,3.952943,0.824926,8.111071,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.697,,,,-24.450001,-11.212501,-37.443752,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.699,,,,3.98046,0.812962,8.672786,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.719,,,,3.851248,0.985245,8.317451,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.735,,,,159.501364,-4.754706,-26.867415,Orientation,,,,,,,,,,
2024-06-06 12:16:36.739,,,,3.777071,1.289133,7.348957,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.745,531.4,4141.4,-986.8,,,,,,,,,,,,,,
2024-06-06 12:16:36.757,,,,-24.918751,-11.493751,-37.331253,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.759,,,,3.761517,1.225723,7.37767,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.779,,,,4.311866,0.2333,8.853444,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.799,,,,6.059824,-1.259223,12.695121,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.817,,,,-25.275002,-11.71875,-37.40625,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.819,,,,6.041877,-2.078166,15.018551,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.839,,,,4.113262,-0.897907,11.420344,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.859,,,,3.14716,0.122034,6.710671,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.877,,,,-25.500002,-11.6625,-37.725002,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.879,,,,2.845664,0.275175,5.837889,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.899,,,,3.321836,0.108873,7.533204,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.919,,,,3.968496,0.145962,9.032906,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.934,,,,159.607382,-2.058812,-24.765679,Orientation,,,,,,,,,,
2024-06-06 12:16:36.937,,,,-25.406252,-11.681251,-37.912502,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.939,,,,4.384848,0.558126,9.492926,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.956,340.2,3879.8,-869.0,,,,,,,,,,,,,,
2024-06-06 12:16:36.959,,,,5.112864,0.265603,9.569496,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.979,,,,4.926224,0.316451,9.702297,Acceleration,,,,,,,,,,
2024-06-06 12:16:36.997,,,,-25.44375,-11.512501,-38.25,MagneticField,,,,,,,,,,
2024-06-06 12:16:36.999,,,,4.610371,0.292523,9.128618,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.019,,,,4.451248,0.425324,8.933603,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.039,,,,4.147958,0.378664,8.902496,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.057,,,,-25.312502,-11.418751,-38.475002,MagneticField,,,,,,,,,,
2024-06-06 12:16:37.059,,,,4.035495,0.118445,9.120243,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.079,,,,3.866802,-0.053839,9.531211,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.099,,,,4.309474,-0.27996,9.309875,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.117,,,,-25.481251,-11.418751,-38.793751,MagneticField,,,,,,,,,,
2024-06-06 12:16:37.119,,,,4.558925,-0.340977,8.962317,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.134,,,,159.252458,-1.988504,-24.398488,Orientation,,,,,,,,,,
2024-06-06 12:16:37.139,,,,4.395017,-0.276371,8.755338,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.151,439.3333333333333,3769.5,-855.8333333333334,,,,,,,,,,,,,,
2024-06-06 12:16:37.159,,,,4.896313,-0.069392,8.7015,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.177,,,,-25.331251,-11.043751,-39.09375,MagneticField,,,,,,,,,,
2024-06-06 12:16:37.179,,,,4.472784,0.439681,8.455039,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.199,,,,4.034299,0.684945,8.885747,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.219,,,,3.400201,0.991227,9.115458,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.237,,,,-24.993752,-10.63125,-39.28125,MagneticField,,,,,,,,,,
2024-06-06 12:16:37.239,,,,4.162315,0.613161,8.502895,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.259,,,,3.921836,0.997209,7.922038,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.279,,,,4.398606,1.016351,7.409974,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.297,,,,-24.862501,-10.40625,-39.450001,MagneticField,,,,,,,,,,
2024-06-06 12:16:37.299,,,,5.183452,0.753141,7.170093,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.319,,,,3.907479,1.357927,7.893324,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.334,,,,159.448922,-3.497107,-26.176738,Orientation,,,,,,,,,,
2024-06-06 12:16:37.339,,,,2.164308,2.104487,8.944371,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.348,556.2,4438.6,-999.2,,,,,,,,,,,,,,
2024-06-06 12:16:37.357,,,,-24.843752,-10.2375,-39.581253,MagneticField,,,,,,,,,,
2024-06-06 12:16:37.359,,,,1.258026,1.440479,9.650852,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.379,,,,4.04387,0.195015,11.949158,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.399,,,,5.129613,-0.329013,12.547962,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.417,,,,-24.88125,-10.05,-39.693752,MagneticField,,,,,,,,,,
2024-06-06 12:16:37.417,,,,-0.046872,0.014514,0.007324,AngularVelocity,,,,,,,,,,
2024-06-06 12:16:37.419,,,,1.691726,0.796212,8.946764,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.439,,,,0.94337,1.737189,7.936395,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.459,,,,3.517449,1.424926,6.508478,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.477,,,,-24.7875,-9.825001,-39.731251,MagneticField,,,,,,,,,,
2024-06-06 12:16:37.479,,,,6.257231,-0.07657,6.87099,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.499,,,,8.051848,-1.244866,9.965508,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.519,,,,6.405586,-1.28674,9.922438,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.533,,,,159.85719,-2.876824,-25.811358,Orientation,,,,,,,,,,
2024-06-06 12:16:37.537,,,,-24.88125,-9.525001,-39.787502,MagneticField,,,,,,,,,,
2024-06-06 12:16:37.539,,,,4.932206,-0.973281,7.542775,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.541,683.8,4147.8,-786.6,,,,,,,,,,,,,,
2024-06-06 12:16:37.559,,,,5.627919,-0.94696,11.278569,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.579,,,,4.458427,-0.557528,9.251849,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.597,,,,-24.806252,-9.46875,-39.731251,MagneticField,,,,,,,,,,
2024-06-06 12:16:37.599,,,,4.934598,-0.478565,7.967501,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.619,,,,4.679763,-0.084945,8.447861,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.639,,,,3.975675,0.372682,8.924032,Acceleration,,,,,,,,,,
2024-06-06 12:16:37.657,,,,-24.825001,-9.806251,-39.712502,MagneticField,,,,,,,,,,
