Timestamp,X,Y,Z,Type,altitude,course,hacc,latitude,longitude,speed
05-Jun-2024 17:31:10.447,5.891129,7.62114,2.158326,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.448,-0.105374,0.168141,-0.010537,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.450,102.36925,-50.76313,-71.368701,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.456,5.891129,7.597212,2.177469,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.457,-0.082161,0.176082,-0.001374,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.459,102.440393,-50.746175,-71.199586,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.465,5.936593,7.606783,2.222932,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.466,-0.06017,0.184634,0.004123,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.468,102.504945,-50.728437,-71.040729,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.474,5.95095,7.623533,2.199004,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.475,-0.03879,0.188299,0.006567,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.477,102.548843,-50.709619,-70.891995,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.482,-32.512501,-39.356251,5.15625,MagneticField,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.483,5.915058,7.599605,2.15354,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.484,-0.013134,0.18219,0.002902,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.486,102.573028,-50.69795,-70.768164,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.492,5.927022,7.599605,2.136791,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.492,-32.456253,-39.450001,5.4,MagneticField,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.493,0.009468,0.177914,-0.001985,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.495,102.581525,-50.695037,-70.666196,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.501,5.955736,7.668997,2.069792,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.502,-32.512501,-39.618752,5.75625,MagneticField,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.502,0.018631,0.177914,-0.008094,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.504,102.587987,-50.69643,-70.573237,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.510,5.991628,7.712068,2.062613,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.511,0.015577,0.176693,-0.01909,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.512,-32.587502,-39.806252,6.28125,MagneticField,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.513,102.572523,-50.706635,-70.489321,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.519,5.974878,7.73121,2.048256,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.520,0.005803,0.175471,-0.03375,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.522,-32.700001,-39.731251,6.4125,MagneticField,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.522,102.565249,-50.72258,-70.401171,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.528,5.9342,7.719246,2.045863,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.529,-0.005192,0.173638,-0.050244,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.531,102.578376,-50.74724,-70.30634,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.532,-32.831253,-39.806252,6.80625,MagneticField,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.537,5.855237,7.690532,1.978864,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.538,-0.016188,0.156534,-0.061239,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.540,102.589503,-50.77718,-70.211216,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.542,-32.756252,-39.825001,6.99375,MagneticField,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.546,5.761917,7.688139,1.998007,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.547,-0.027794,0.124158,-0.064294,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.549,102.603819,-50.81155,-70.132546,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.552,-32.625,-40.125,7.18125,MagneticField,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.555,5.726025,7.688139,2.017149,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.556,-0.041844,0.093004,-0.060628,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.558,102.615963,-50.846896,-70.056219,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.562,-32.512501,-40.21875,7.03125,MagneticField,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.564,5.673382,7.676175,2.086541,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.565,-0.048564,0.071624,-0.051465,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.567,102.627936,-50.877878,-69.985697,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.572,-32.643753,-40.200001,7.1625,MagneticField,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.573,5.675776,7.659425,2.132005,Acceleration,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.574,-0.049785,0.066737,-0.036805,AngularVelocity,NaN,NaN,NaN,NaN,NaN,NaN
05-Jun-2024 17:31:10.576,102.638953,-50.901975,-69.908646,Orientation,NaN,NaN,NaN,NaN,NaN,NaN
