time,type,package
2024-06-04 23:21:32,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:21:39,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:21:39,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:21:40,ACTIVITY_STOPPED,com.baidu.tieba
2024-06-04 23:21:42,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:21:42,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:21:46,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:21:46,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:21:47,ACTIVITY_STOPPED,com.baidu.tieba
2024-06-04 23:22:03,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:22:03,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:22:23,STANDBY_BUCKET_CHANGED,com.android.systemui
2024-06-04 23:22:23,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:22:23,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:22:23,ACTIVITY_STOPPED,com.baidu.tieba
2024-06-04 23:22:32,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:22:32,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:22:34,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:22:34,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:22:34,ACTIVITY_STOPPED,com.baidu.tieba
2024-06-04 23:22:41,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:22:41,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:22:42,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:22:42,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:22:42,ACTIVITY_STOPPED,com.baidu.tieba
2024-06-04 23:22:49,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:22:49,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:22:51,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:22:51,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:22:51,ACTIVITY_STOPPED,com.baidu.tieba
2024-06-04 23:23:00,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:23:00,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:23:14,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:23:14,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:23:14,ACTIVITY_STOPPED,com.baidu.tieba
2024-06-04 23:23:28,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:23:28,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:23:29,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:23:29,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:23:30,ACTIVITY_STOPPED,com.baidu.tieba
2024-06-04 23:23:53,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:23:53,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:23:57,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:23:57,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:23:57,ACTIVITY_STOPPED,com.baidu.tieba
2024-06-04 23:23:59,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:23:59,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:24:00,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:24:00,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:24:00,ACTIVITY_STOPPED,com.baidu.tieba
2024-06-04 23:24:05,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:24:05,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:24:09,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:24:09,ACTIVITY_RESUMED,com.baidu.tieba
2024-06-04 23:24:09,ACTIVITY_STOPPED,com.baidu.tieba
2024-06-04 23:24:22,ACTIVITY_RESUMED,com.huawei.android.launcher
2024-06-04 23:24:22,ACTIVITY_PAUSED,com.baidu.tieba
2024-06-04 23:24:23,ACTIVITY_STOPPED,com.baidu.tieba
2024-06-04 23:24:23,ACTIVITY_PAUSED,com.huawei.android.launcher
2024-06-04 23:24:23,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:24:23,STANDBY_BUCKET_CHANGED,com.zhihu.android
2024-06-04 23:24:24,ACTIVITY_STOPPED,com.huawei.android.launcher
2024-06-04 23:24:37,STANDBY_BUCKET_CHANGED,com.android.providers.blockednumber
2024-06-04 23:24:37,STANDBY_BUCKET_CHANGED,com.android.providers.userdictionary
2024-06-04 23:25:00,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:25:00,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:25:01,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:25:11,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:25:11,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:25:11,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:25:21,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:25:21,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:25:22,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:25:23,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:25:23,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:25:23,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:25:24,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:25:24,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:25:24,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:26:04,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:26:04,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:26:04,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:26:08,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:26:08,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:26:08,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:26:56,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:26:56,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:26:57,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:26:57,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:26:57,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:27:16,STANDBY_BUCKET_CHANGED,com.huawei.pengine
2024-06-04 23:27:23,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:27:23,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:27:23,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:27:28,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:27:28,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:27:28,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:27:40,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:27:40,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:27:41,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:27:44,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:27:44,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:27:44,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:27:56,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:27:56,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:27:57,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:28:11,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:28:11,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:28:12,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:28:22,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:28:22,ACTIVITY_RESUMED,com.zhihu.android
2024-06-04 23:28:22,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:28:38,ACTIVITY_PAUSED,com.zhihu.android
2024-06-04 23:28:38,ACTIVITY_RESUMED,com.huawei.android.launcher
2024-06-04 23:28:38,ACTIVITY_STOPPED,com.zhihu.android
2024-06-04 23:28:39,SCREEN_NON_INTERACTIVE,android
2024-06-04 23:28:39,STANDBY_BUCKET_CHANGED,com.huawei.android.thememanager
2024-06-04 23:28:39,ACTIVITY_PAUSED,com.huawei.android.launcher
2024-06-04 23:28:39,ACTIVITY_STOPPED,com.huawei.android.launcher
2024-06-04 23:28:39,KEYGUARD_SHOWN,android
2024-06-04 23:28:41,STANDBY_BUCKET_CHANGED,com.huawei.pengine
2024-06-04 23:28:49,STANDBY_BUCKET_CHANGED,com.zhihu.android
2024-06-05 00:22:24,STANDBY_BUCKET_CHANGED,android.ext.services
2024-06-05 00:22:24,STANDBY_BUCKET_CHANGED,com.huawei.vassistant
2024-06-05 00:22:24,STANDBY_BUCKET_CHANGED,com.huawei.contentsensor
2024-06-05 00:22:24,STANDBY_BUCKET_CHANGED,com.huawei.hiaction
2024-06-05 00:53:49,STANDBY_BUCKET_CHANGED,com.huawei.hiai
2024-06-05 00:55:06,STANDBY_BUCKET_CHANGED,com.huawei.search
2024-06-05 00:55:06,STANDBY_BUCKET_CHANGED,com.huawei.intelligent
2024-06-05 01:23:49,STANDBY_BUCKET_CHANGED,com.android.permissioncontroller
2024-06-05 01:23:49,STANDBY_BUCKET_CHANGED,com.google.android.webview
2024-06-05 01:28:49,STANDBY_BUCKET_CHANGED,com.huawei.search
2024-06-05 01:28:49,STANDBY_BUCKET_CHANGED,com.huawei.hiai
2024-06-05 01:28:49,STANDBY_BUCKET_CHANGED,com.huawei.intelligent
2024-06-05 01:38:50,STANDBY_BUCKET_CHANGED,com.huawei.hiai
2024-06-05 01:48:49,STANDBY_BUCKET_CHANGED,com.huawei.search
2024-06-05 01:48:49,STANDBY_BUCKET_CHANGED,com.huawei.intelligent
2024-06-05 03:12:14,STANDBY_BUCKET_CHANGED,com.android.systemui
2024-06-05 03:22:25,STANDBY_BUCKET_CHANGED,com.android.systemui
2024-06-05 03:33:49,STANDBY_BUCKET_CHANGED,com.huawei.search
2024-06-05 03:33:49,STANDBY_BUCKET_CHANGED,com.huawei.hiai
